#{"t_start": 1701513492.7798083, "env_id": null}
r,l,t
1.796216,2317,2386.593282
-1.881874,189,2387.060016
-1.545824,289,2388.245394
2.052215,2411,2393.144207
1.797243,2506,2398.2318
1.796215,2412,2403.297219
1.857215,2513,2408.664656
2.710215,1421,2412.576283
1.796215,2317,2418.272158
1.815215,2315,2423.752435
1.865215,2316,2428.896034
1.808215,2316,2434.570503
1.804215,2210,2439.670053
-1.883425,175,2440.110137
2.529215,1717,2444.241288
2.319215,1913,2448.965379
-1.905022,164,2449.99401
2.318215,1912,2454.860256
1.804215,2210,2460.439529
2.324215,2118,2465.722507
1.837215,2314,2471.363223
2.315215,2116,2477.04169
1.815215,2213,2482.427981
1.813227,2316,2488.287479
1.818215,2209,2493.823664
2.222215,1913,2498.325151
-1.875816,196,2498.896271
2.317221,2158,2504.268312
2.024215,2317,2509.858451
-1.827065,266,2510.59573
1.796215,2412,2516.668264
1.903215,2506,2522.335881
1.801215,2515,2528.372398
1.809215,2315,2533.639383
1.804216,2510,2538.869381
1.803215,2510,2545.775758
1.911218,2218,2551.698611
1.796217,2110,2556.841516
1.863215,2507,2562.715741
1.797215,2312,2568.059187
1.796215,2510,2573.548961
1.796215,2512,2579.730275
1.796215,2216,2585.253569
1.798215,2509,2591.00499
1.796215,2508,2596.50125
1.797215,2411,2601.598045
1.796215,2217,2606.555386
1.796215,2310,2611.731929
1.800215,2115,2617.397889
1.798215,2515,2623.520967
1.796215,2511,2629.218282
1.801215,2312,2634.839384
1.804215,2408,2640.521188
1.799215,2313,2646.190316
1.798215,2409,2652.401689
-1.900624,176,2652.881593
1.815215,2314,2658.350294
1.804215,2210,2663.584709
1.800215,2211,2669.445933
1.800215,2311,2674.714303
-1.894624,186,2675.181041
-1.709137,494,2676.373247
1.798215,2414,2682.277101
1.810215,2310,2687.376936
-1.773424,388,2688.317273
1.796215,2212,2693.358224
1.801215,2509,2698.586895
1.805215,2412,2703.772977
1.803215,2414,2709.438214
1.810215,2310,2715.100425
1.806215,2507,2720.76453
1.952215,2515,2726.497514
1.805215,2509,2732.231974
1.804215,2512,2738.627365
1.802217,2511,2744.662343
1.806215,2218,2750.472326
1.806215,2511,2755.941457
1.811215,2410,2761.511494
1.899566,2465,2768.085941
-1.874152,182,2768.557739
1.953225,2318,2774.335343
1.867236,2166,2779.313467
-1.035824,614,2780.817381
1.907215,2218,2785.915675
1.98558,2416,2791.070509
-0.863824,769,2793.5241
1.86555,2072,2798.375424
1.860572,2265,2803.780362
-1.087159,2310,2808.80408
2.150267,2409,2814.361609
1.851526,2372,2819.809872
1.822221,2394,2825.313396
-1.603624,301,2826.708218
-1.882824,199,2827.278951
1.853238,2466,2833.262377
1.839232,2393,2838.97745
2.061215,2411,2844.611491
1.850083,2374,2850.117671
-1.539224,300,2851.397864
-1.874801,175,2851.827984
1.981549,2240,2857.12505
1.942539,2471,2862.914714
1.908225,2474,2868.645661
1.856515,2363,2874.257572
1.861273,2463,2880.425271
-1.529402,320,2881.29926
-1.824152,292,2882.120976
-1.885024,167,2882.603441
-1.727224,195,2883.15301
1.884577,2470,2889.45578
-1.636616,263,2890.226037
1.903221,2218,2896.338207
2.065289,2469,2902.515694
1.90826,2314,2907.70584
-1.191485,2438,2912.68052
1.852522,2173,2917.646062
-1.16491,2454,2922.630321
-1.101176,2038,2927.317597
-1.835091,282,2928.022348
-1.037621,2423,2933.594553
-1.229558,2155,2938.459895
-1.22022,2432,2943.484937
1.814355,2513,2948.649992
1.807526,2508,2953.77404
1.799233,2111,2958.528559
1.796236,2309,2963.492461
1.798215,2509,2969.142626
1.796215,2515,2974.291267
1.796215,2506,2979.340732
1.796215,2310,2984.335552
1.796215,2407,2989.327713
1.796215,2209,2994.311737
1.796215,2514,2999.926802
1.796215,2513,3005.099649
1.799215,2117,3009.838203
-1.869288,185,3010.293058
1.796215,2413,3015.365284
1.797215,2512,3020.474921
1.822215,2215,3025.54801
1.796215,2416,3031.108849
1.803215,2113,3035.9052
1.796215,2508,3040.993386
1.796215,2014,3045.583041
1.796215,2511,3050.714149
1.796215,2513,3055.79852
1.796217,2213,3060.886106
1.796215,2515,3066.89701
1.796215,1426,3070.149332
1.796215,2017,3074.805875
1.796215,2514,3080.550475
1.799215,2218,3085.606098
1.796215,2412,3090.721289
1.796215,2309,3095.699735
1.796215,2408,3100.804014
1.796215,2515,3106.022736
1.796215,2411,3111.748365
1.796215,2411,3116.881925
1.796215,2412,3122.013963
1.806215,2115,3126.886893
1.804215,2310,3132.005753
1.806215,2315,3137.072208
-1.705624,211,3137.599892
1.810215,2410,3142.678424
-1.847993,176,3143.716601
1.814215,2212,3148.720248
1.803215,2416,3153.986078
-1.888269,165,3154.404921
-1.879741,170,3154.836642
-1.433624,366,3155.703533
-1.866473,190,3156.184074
1.814215,2409,3161.287701
1.893215,2507,3166.933402
1.803215,2416,3172.005364
1.874537,2365,3177.038258
1.963239,2468,3182.166967
1.870528,2460,3187.272544
-1.874224,210,3187.788818
-1.75307,409,3189.304099
1.91223,2317,3194.354233
1.801222,2309,3199.451133
-1.779688,366,3200.324363
1.887515,2503,3205.44144
1.809216,2515,3211.173431
1.796215,2515,3216.353329
1.796218,2216,3221.410241
1.796215,2511,3226.537597
1.799215,2217,3231.569283
1.818237,2316,3236.663556
1.820521,2389,3241.870454
-1.827624,296,3243.144878
-1.891288,180,3243.590199
1.796219,2315,3248.635069
-1.150972,2376,3253.677225
-1.766424,398,3254.679589
1.796216,2316,3259.794498
1.796215,2209,3264.85965
-1.856701,203,3265.915877
-1.18558,2277,3271.010712
-1.239917,2248,3276.573334
-1.198279,2433,3282.20064
